scenario,month,group_id,origin_region,scope_type,wagon_type,scope_family,workshop,allocated_wagons,total_hh,direct_cost,logistics_cost,unavailability_cost,retention_cost,composite_cost,local_assignment
local_first_heuristic,8,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,2,24.0,172.0,76.0,24.0,16.0,288.0,0
local_first_heuristic,8,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM3,6,54.0,408.0,180.0,54.0,48.0,690.0,0
local_first_heuristic,8,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,2,80.0,220.0,110.0,36.0,30.0,396.0,0
local_first_heuristic,8,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,9,72.0,855.0,36.0,27.0,27.0,945.0,1
local_first_heuristic,8,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM2,2,16.0,150.0,8.0,6.0,6.0,170.0,1
local_first_heuristic,8,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,13,104.0,1144.0,494.0,156.0,104.0,1898.0,0
local_first_heuristic,8,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,7,63.0,476.0,266.0,84.0,56.0,882.0,0
local_first_heuristic,9,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,12,120.0,1080.0,48.0,36.0,36.0,1200.0,1
local_first_heuristic,9,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5,60.0,450.0,20.0,15.0,15.0,500.0,1
local_first_heuristic,9,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3,120.0,330.0,12.0,9.0,45.0,396.0,1
local_first_heuristic,9,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,2,60.0,210.0,8.0,6.0,24.0,248.0,1
